"","Specimen.ID","Run","Lanai.Side","Treatment","Temp...C.","RLC.Order","Plant.ID","Species","rETRmax","rETRmax_min","ek.1","posix_date","day1_rlc_time","day9_rlc_time","day9_ek","day9_rETRmax_min","day5_ek","day5_rETRmax_min","supersat_p1","supersat_p2","supersat_p3","supersat_avg","day_length_avg","carbon1","carbon5","carbon9","carbon_total","supersat_rel"
"1","hm1-1","1","ewa","1",30,"1","1","hm",94.3,5658,154.3,2021-09-20,"8:22:09","11:43:20",110.9,4018.2,91.6,3886.8,433.666666666667,530,368.75,426.222222222222,677.333333333333,2453686,2060004,1481711.25,5995401.25,65.8
"2","hm1-2","1","ewa","2",30,"1","1","hm",106.6,6396,151.1,2021-09-20,"8:26:42","11:48:13",98.3,3886.8,95.2,3351.6,439,522,389.75,435.555555555556,677.333333333333,2807844,1749535.2,1514880.3,6072259.5,67.3
"3","hm1-3","1","ewa","3",30,"1","1","hm",119.72,7183.2,139.7,2021-09-20,"8:31:21","11:52:37",117,4575.6,123.3,4460.4,453.666666666667,448,361,411.222222222222,677.333333333333,3258778.4,1998259.2,1651791.6,6908829.2,64
"4","hm1-4","1","ewa","4",30,"1","1","hm",103.32,6199.2,160.7,2021-09-20,"8:35:45","11:57:02",164.4,5040,113.3,4378.8,424,467.5,298,377.666666666667,677.333333333333,2628460.8,2047089,1501920,6177469.8,59.3
"5","ul1-1","1","ewa","1",30,"1","1","ul",115.62,6937.2,141.8,2021-09-20,"8:40:04","12:01:41",88.2,4206.6,89,4086.6,451,532.5,414.75,453,677.333333333333,3128677.2,2176114.5,1744687.35,7049479.05,69.8
"6","ul1-2","1","ewa","2",30,"1","1","ul",75.18,4510.8,91.5,2021-09-20,"8:45:01","12:06:23",92.6,4463.4,64.3,2884.2,527,568.5,406.25,482.555555555556,677.333333333333,2377191.6,1639667.7,1813256.25,5830115.55,73.6
"7","ul1-3","1","ewa","3",30,"1","1","ul",67.55,4053,80.8,2021-09-20,"8:49:20","12:10:54",164.5,7308,71,3420,536.666666666667,554.5,301,435.888888888889,677.333333333333,2175110,1896390,2199708,6271208,66.9
"8","ul1-4","1","ewa","4",30,"1","1","ul",65.84,3950.4,77.5,2021-09-20,"8:53:59","12:15:55",134.5,6224.4,114.8,5796,542,464.5,343.25,436.444444444444,677.333333333333,2141116.8,2692242,2136525.3,6969884.1,67.5
"9","hm2-1","1","ewa","1",30,"2","2","hm",96.76,5805.6,118.6,2021-09-20,"8:58:34","11:03:00",94.2,3444,87,3198,478.666666666667,537,387.25,451,668.777777777778,2778947.2,1717326,1333689,5829962.2,69.7
"10","hm2-2","1","ewa","2",30,"2","2","hm",82.82,4969.2,120.4,2021-09-20,"9:03:35","11:08:09",97.6,2948.4,99.8,4772.4,473.333333333333,509,380.75,440.111111111111,668.777777777778,2352088,2429151.6,1122603.3,5903842.9,68.2
"11","hm2-3","1","ewa","3",30,"2","2","hm",98.4,5904,156.4,2021-09-20,"9:08:10","11:12:54",133,4526.4,79,2952,428,546.5,328.75,410.222222222222,668.777777777778,2526912,1613268,1488054,5628234,64
"12","hm2-4","1","ewa","4",30,"2","2","hm",90.2,5412,135,2021-09-20,"9:12:43","11:18:10",132.1,3984.6,107.6,3837.6,452.333333333333,485,331.5,405.888888888889,668.888888888889,2448028,1861236,1320894.9,5630158.9,63.5
"13","ul2-1","1","ewa","1",30,"2","2","ul",77.81,4668.6,95.7,2021-09-20,"9:17:09","11:22:53",79.4,3727.8,83.7,3950.4,509,541,422.25,477.555555555556,668.888888888889,2376317.4,2137166.4,1574063.55,6087547.35,73.6
"14","ul2-2","1","ewa","2",30,"2","2","ul",78.54,4712.4,106.4,2021-09-20,"9:21:58","11:28:12",50.7,2211.6,75,3607.8,493.666666666667,549.5,494.5,506.444444444444,668.888888888889,2326354.8,1982486.1,1093636.2,5402477.1,78.3
"15","ul2-3","1","ewa","3",30,"2","2","ul",78.96,4737.6,93.3,2021-09-20,"9:26:23","11:33:38",88.9,4485.6,109.4,5443.2,511.333333333333,479,406.25,457.444444444444,669.111111111111,2422492.8,2607292.8,1822275,6852060.6,71.1
"16","ul2-4","1","ewa","4",30,"2","2","ul",85.26,5115.6,103.8,2021-09-20,"9:30:54","11:38:30",94.7,4309.2,107.4,5065.2,493,485.5,395.25,447.888888888889,669.111111111111,2521990.8,2459154.6,1703211.3,6684356.7,69.8
"17","hm3-1","1","ewa","1",27,"3","3","hm",53.3,3198,82.5,2021-09-20,"9:35:19","9:06:44",68.9,2923.2,126.4,4334.4,519.333333333333,443.5,412.75,455.111111111111,651.777777777778,1660828,1922306.4,1206550.8,4789685.2,70.6
"18","hm3-2","1","ewa","2",27,"3","3","hm",64.78,3886.8,90.8,2021-09-20,"9:39:53","9:12:13",55.3,3050.4,121.3,4821.6,511,452,449,470.333333333333,651.777777777778,1986154.8,2179363.2,1369629.6,5535147.6,73.8
"19","hm3-3","1","ewa","3",27,"3","3","hm",36.08,2164.8,73.2,2021-09-20,"9:44:18","9:16:39",78,2701.8,145.5,5018.4,530.666666666667,418,394.75,445.222222222222,651.888888888889,1148787.2,2097691.2,1066535.55,4313013.95,68.8
"20","hm3-4","1","ewa","4",27,"3","3","hm",88.56,5313.6,92.4,2021-09-20,"9:48:52","9:20:56",126.4,4086.6,140.6,7872,506,423,308.5,399.777777777778,651.777777777778,2688681.6,3329856,1260716.1,7279253.7,61.2
"21","ul3-1","1","ewa","1",27,"3","3","ul",62.7,3762,75.1,2021-09-20,"9:53:30","9:25:22",42.3,1738.8,75.8,3573.6,524.333333333333,548.5,491.25,515,651.888888888889,1972542,1960119.6,854185.5,4786847.1,80.3
"22","ul3-2","1","ewa","2",27,"3","3","ul",62.16,3729.6,73.6,2021-09-20,"9:57:59","9:30:31",56.2,2650.2,73.2,3539.4,525.333333333333,551.5,450.5,497.888888888889,651.888888888889,1959283.2,1951979.1,1193915.1,5105177.4,77.6
"23","ul3-3","1","ewa","3",27,"3","3","ul",82.32,4939.2,91.2,2021-09-20,"9:59:35","9:35:23",67.6,3198,78.5,3591,504.666666666667,547,424.5,478.444444444444,652.333333333333,2492649.6,1964277,1357551,5814477.6,74.4
"24","ul3-4","1","ewa","4",27,"3","3","ul",60.42,3625.2,73,2021-09-20,"10:07:05","9:39:58",81.4,3710.4,79.7,3693.6,524,545.5,393.25,470.666666666667,651.888888888889,1899604.8,2014858.8,1459114.8,5373578.4,72.4
